---------- m8_r8_t32_h2 @ triangle : -p 19 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706836157.9488583, 0, 0, 21.69, 157.23, 78.12
1706836158.1013093, 1, 0, 434.62, 0.00, 1.95
1706836158.2447486, 1, 0, 434.62, 0.00, 0.00
1706836158.7920673, 0, 0, 434.62, 0.00, 0.00
1706836158.9963124, 0, 0, 434.62, 0.00, 0.00
1706836159.2231038, 0, 0, 434.62, 0.00, 0.00
1706836159.7097230, 0, 0, 434.62, 0.00, 0.00
1706836160.0951605, 0, 0, 434.62, 0.98, 0.00
1706836160.2597389, 0, 0, 434.62, 0.00, 0.00
1706836160.8069725, 0, 0, 434.62, 0.00, 501.95
1706836161.1421301, 0, 0, 448.62, 0.00, 0.00
1706836161.3253100, 6, 0, 448.62, 0.00, 0.00
1706836161.8717561, 0, 0, 448.62, 0.00, 6.84
1706836162.1034033, 0, 0, 448.62, 0.00, 0.98
1706836162.2461042, 0, 0, 448.62, 0.00, 0.00
1706836162.7927094, 0, 0, 448.62, 0.00, 0.00
1706836163.0178065, 0, 0, 448.62, 1127.93, 714.84
1706836163.3998516, 5, 0, 464.62, 0.00, 0.00
1706836163.7869630, 0, 0, 464.62, 0.00, 0.98
1706836164.1117198, 0, 0, 464.62, 0.98, 0.00
1706836164.2568612, 0, 0, 464.62, 0.00, 0.00
1706836164.6019723, 0, 0, 464.62, 0.00, 0.00
1706836164.7850778, 0, 0, 464.62, 0.00, 0.00
1706836165.1297350, 0, 0, 464.62, 0.00, 0.00
1706836165.3734024, 0, 0, 464.62, 634.77, 1212.89
1706836165.6693168, 0, 0, 536.62, 0.00, 1.95
1706836166.1067324, 0, 0, 536.62, 0.98, 0.00
1706836166.2494447, 0, 0, 536.62, 0.00, 74.22
1706836166.6501915, 0, 0, 522.62, 0.00, 0.00
1706836167.1970661, 2, 0, 508.62, 0.00, 0.00
1706836167.6114383, 0, 0, 508.62, 0.00, 0.00
1706836167.8370738, 0, 0, 4.00, 0.00, 0.00
