---------- m8_r8_t32_h2 @ v10_e18_t5 : -p 0 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706810972.4220057, 0, 0, 21.69, 160.16, 115.23
1706810972.5891399, 0, 0, 434.62, 3.91, 0.98
1706810972.7766783, 2, 0, 434.62, 0.00, 0.00
1706810973.3239760, 0, 0, 434.62, 0.00, 0.00
1706810973.5298917, 0, 0, 434.62, 0.00, 0.00
1706810974.0775807, 0, 0, 434.62, 0.00, 0.00
1706810974.6250861, 0, 0, 434.62, 0.98, 0.00
1706810974.7698536, 0, 0, 434.62, 0.00, 0.00
1706810974.9531548, 0, 0, 434.62, 0.00, 0.00
1706810975.1564686, 0, 0, 446.62, 1225.59, 484.38
1706810975.3475802, 6, 0, 448.62, 0.00, 0.00
1706810975.8537476, 0, 0, 448.62, 0.00, 0.00
1706810976.0570333, 0, 0, 448.62, 0.00, 0.00
1706810976.2602580, 0, 0, 448.62, 0.00, 0.98
1706810976.6455328, 0, 0, 448.62, 0.00, 0.00
1706810976.8716400, 0, 0, 448.62, 991.21, 790.04
1706810977.1130145, 6, 0, 464.62, 0.00, 0.00
1706810977.6595860, 0, 0, 464.62, 0.00, 0.00
1706810977.8642800, 0, 0, 464.62, 0.00, 0.00
1706810978.0895646, 0, 0, 464.62, 0.00, 0.00
1706810978.6362047, 0, 0, 468.62, 1000.00, 686.52
1706810978.8883009, 0, 0, 536.62, 0.00, 0.00
1706810979.2657056, 0, 0, 536.62, 0.00, 0.00
1706810979.8128591, 0, 0, 536.62, 74.22, 0.00
1706810980.3037570, 0, 0, 522.62, 0.00, 0.00
1706810980.4890046, 0, 0, 508.62, 0.98, 0.00
1706810980.7356863, 3, 0, 508.62, 0.00, 0.00
1706810980.8784778, 0, 0, 508.62, 0.00, 0.00
1706810981.0826757, 0, 0, 504.62, 9.77, 0.00
---------- m8_r8_t32_h2 @ v10_e18_t5 : -p 2 ----------
timestamp [epoch], gpu_utilization [%], memory_utilization [%], memory_used [MiB], pcie_tx_throughput [MiB/s], pcie_rx_throughput [MiB/s]
1706810981.2389061, 0, 0, 4.00, 9.77, 0.98
1706810981.3991327, 5, 0, 434.62, 0.00, 0.00
1706810981.6049001, 1, 0, 434.62, 0.00, 0.00
1706810981.8288729, 0, 0, 434.62, 0.00, 0.00
1706810982.3763969, 0, 0, 434.62, 0.00, 0.00
1706810982.5801051, 0, 0, 434.62, 0.00, 0.00
1706810982.7457359, 0, 0, 434.62, 0.00, 0.00
1706810982.9089906, 0, 0, 434.62, 0.00, 0.00
1706810983.4562261, 0, 0, 434.62, 0.00, 0.00
1706810983.6595960, 0, 0, 434.62, 0.00, 0.00
1706810983.9069266, 5, 0, 448.62, 0.00, 0.00
1706810984.0901265, 0, 0, 448.62, 0.00, 0.00
1706810984.4752834, 0, 0, 448.62, 0.00, 0.00
1706810984.6584592, 0, 0, 448.62, 0.00, 0.00
1706810984.8051665, 0, 0, 448.62, 0.00, 0.00
1706810985.0490839, 0, 0, 448.62, 0.00, 0.00
1706810985.2322574, 0, 0, 448.62, 0.00, 0.00
1706810985.4558265, 0, 0, 448.62, 0.00, 990.23
1706810985.7234206, 6, 0, 464.62, 0.00, 0.00
1706810986.1489263, 0, 0, 464.62, 0.00, 0.98
1706810986.6753383, 0, 0, 464.62, 0.00, 0.00
1706810986.8583848, 0, 0, 464.62, 0.00, 0.00
1706810987.0213201, 0, 0, 464.62, 0.00, 547.85
1706810987.4695375, 11, 0, 536.62, 0.00, 0.00
1706810987.9097390, 0, 0, 536.62, 0.00, 74.22
1706810988.3185494, 3, 0, 522.62, 0.00, 0.00
1706810988.6650946, 0, 0, 522.62, 0.00, 74.22
1706810988.9348123, 3, 0, 508.62, 0.00, 1.95
